date,AI tools tools,AI tools apps,AI tools software,machine learning tools,machine learning apps,machine learning software,machine learning services,neural networks tools
2023-12-31,35,0,0,0,0,0,0,0
2024-01-07,61,0,0,0,100,97,0,0
2024-01-14,60,0,0,0,0,0,0,0
2024-01-21,70,0,0,0,0,0,0,0
2024-01-28,65,0,0,0,0,0,0,0
2024-02-04,79,0,0,0,0,100,0,0
2024-02-11,67,0,0,0,0,0,0,0
2024-02-18,72,0,0,0,0,0,0,0
2024-02-25,86,0,0,0,0,0,0,0
2024-03-03,45,0,0,0,0,0,0,0
2024-03-10,51,0,0,0,0,0,0,0
2024-03-17,81,0,0,0,0,0,0,0
2024-03-24,73,0,0,0,0,0,0,0
2024-03-31,52,0,0,0,0,0,0,0
2024-04-07,68,0,0,0,0,0,0,0
2024-04-14,59,0,0,0,0,0,0,0
2024-04-21,65,0,0,0,0,0,0,0
2024-04-28,57,0,0,0,0,0,0,0
2024-05-05,97,0,0,0,0,0,0,0
2024-05-12,68,0,0,0,0,0,0,0
2024-05-19,61,0,0,0,0,0,0,0
2024-05-26,67,0,0,0,0,0,0,0
2024-06-02,69,0,0,0,0,0,0,0
2024-06-09,77,0,0,0,0,0,0,0
2024-06-16,79,0,0,0,0,0,0,0
2024-06-23,62,0,0,0,0,0,0,0
2024-06-30,59,0,0,0,0,0,0,0
2024-07-07,60,0,0,0,0,0,0,0
2024-07-14,67,0,0,0,0,0,0,0
2024-07-21,77,0,0,0,0,0,0,0
2024-07-28,45,0,0,0,0,0,0,0
2024-08-04,61,0,0,0,0,0,0,0
2024-08-11,45,0,0,0,0,0,0,100
2024-08-18,61,0,0,0,0,0,0,0
2024-08-25,51,0,0,0,0,0,0,0
2024-09-01,55,0,0,0,0,0,0,0
2024-09-08,45,0,0,0,0,0,0,0
2024-09-15,54,0,0,0,0,0,0,0
2024-09-22,83,0,0,0,0,0,0,0
2024-09-29,93,0,0,0,0,0,0,0
2024-10-06,75,100,0,0,0,0,0,0
2024-10-13,92,0,0,0,0,0,0,0
2024-10-20,100,0,0,0,0,0,0,0
2024-10-27,81,0,0,0,0,0,100,0
2024-11-03,82,0,0,0,0,0,0,0
2024-11-10,86,0,0,0,0,0,0,0
2024-11-17,83,0,0,0,0,0,0,0
2024-11-24,67,0,0,0,0,0,0,0
2024-12-01,56,0,0,0,0,0,0,0
2024-12-08,100,0,0,0,0,0,0,0
2024-12-15,54,0,0,0,0,14,88,0
2024-12-22,81,0,100,100,0,18,7,0
2024-12-29,74,0,0,0,0,0,0,0
